iteration,episode_return_mean,episode_len_mean,timesteps,episodes,policy_loss,vf_loss,entropy
1,-1.15,3.02,4096,1171,-0.09012105315923691,9.771429061889648,1.702235460281372
2,-0.6,3.99,8192,2238,0.0986202210187912,9.77011489868164,1.6546151638031006
3,-0.9500000000000001,3.78,12288,3239,-0.16361823678016663,9.707603454589844,1.6294795274734497
4,-0.45,4.07,16384,4255,-0.03259871155023575,9.488636016845703,1.5499050617218018
5,-0.9500000000000001,3.96,20480,5220,-0.006017105653882027,9.838709831237793,1.5929160118103027
6,-0.45,4.91,24576,6112,-0.12728196382522583,9.783783912658691,1.6146162748336792
7,-0.75,5.12,28672,7009,-0.10178019106388092,9.502762794494629,1.5474036931991577
8,-1.0,4.4399999999999995,32768,8000,-0.05147528648376465,9.829545021057129,1.5547478199005127
9,-0.75,4.38,36864,9022,-0.0943395122885704,9.815951347351074,1.5110126733779907
10,-1.0,3.58,40960,10105,-0.04875796660780907,9.781420707702637,1.4767580032348633
11,-1.45,3.37,45056,11171,-0.05574440211057663,9.281768798828125,1.474134922027588
12,-1.4,3.65,49152,12354,-0.19216354191303253,9.661017417907715,1.4600417613983154
13,-1.65,3.15,53248,13743,-0.36032983660697937,9.819276809692383,1.417346715927124
14,-2.0,2.38,57344,15055,0.16544896364212036,9.75308609008789,1.4099321365356445
15,-1.6,3.41,61440,16357,-0.2184331864118576,9.832402229309082,1.3305745124816895
16,-1.8,3.0,65536,17809,-0.044175710529088974,10.0,1.3662784099578857
17,-1.55,2.87,69632,19201,0.053250450640916824,9.879518508911133,1.367282748222351
18,-1.75,2.9,73728,20616,-0.17188359797000885,9.873417854309082,1.3168882131576538
19,-1.9,2.66,77824,21960,-0.024624424055218697,9.683544158935547,1.2779309749603271
20,-1.75,3.15,81920,23350,-0.10419601202011108,9.820359230041504,1.279848575592041
21,-1.6,3.0300000000000002,86016,24743,-0.09586203098297119,9.75903606414795,1.2885817289352417
22,-1.7999999999999998,2.8200000000000003,90112,26221,-0.1326218694448471,9.870967864990234,1.2734581232070923
23,-2.0,2.79,94208,27736,-0.1361277997493744,9.740260124206543,1.2526777982711792
24,-2.15,2.71,98304,29317,-0.039279911667108536,9.802631378173828,1.1801398992538452
25,-2.05,2.31,102400,30985,-0.13416904211044312,9.86486530303955,1.2304134368896484
26,-2.2,3.08,106496,32524,-0.1422213762998581,9.756097793579102,1.130273461341858
27,-1.8,2.26,110592,34211,-0.16307777166366577,9.818181991577148,1.1630640029907227
28,-1.9,2.9699999999999998,114688,35957,0.05700754001736641,9.871794700622559,1.045475959777832
29,-2.25,2.13,118784,37667,-0.07120981067419052,9.802631378173828,1.1041741371154785
30,-1.65,2.25,122880,39460,0.057989172637462616,9.860139846801758,1.1176661252975464
31,-2.4000000000000004,2.2,126976,41100,-0.10104440152645111,9.817072868347168,1.1285289525985718
32,-1.9500000000000002,2.34,131072,42671,-0.20398622751235962,9.698795318603516,1.143643856048584
33,-1.9500000000000002,2.5700000000000003,135168,44367,-0.14584630727767944,9.735099792480469,1.0900977849960327
34,-1.7,2.8,139264,45978,-0.06669920682907104,9.865772247314453,1.1204851865768433
35,-2.1,2.6,143360,47674,-0.008391538634896278,9.801324844360352,1.1473273038864136
36,-1.85,2.7199999999999998,147456,49288,-0.20911329984664917,9.797297477722168,1.118160605430603
37,-2.4,2.4699999999999998,151552,51011,0.0010088625131174922,9.93197250366211,1.122379183769226
38,-2.35,2.66,155648,52694,-0.015503055416047573,9.93630599975586,1.1214797496795654
39,-2.1500000000000004,2.26,159744,54348,-0.17239102721214294,9.745223045349121,1.0883296728134155
40,-2.45,2.02,163840,56169,-0.16070683300495148,9.933333396911621,1.0844553709030151
41,-1.6,2.62,167936,58013,-0.05373619496822357,9.877300262451172,1.0835158824920654
42,-2.1500000000000004,2.19,172032,59872,-0.004833491053432226,9.931034088134766,1.082210898399353
43,-1.8,2.4699999999999998,176128,61666,0.021263496950268745,9.926470756530762,1.0646944046020508
44,-2.3,2.24,180224,63444,-0.15336157381534576,10.0,1.178158164024353
45,-2.2,2.43,184320,65245,0.16885222494602203,9.801324844360352,1.1127727031707764
46,-1.45,2.25,188416,67031,-0.09332452714443207,9.935897827148438,1.1060749292373657
47,-2.05,2.58,192512,68862,-0.2787982225418091,10.0,1.0522191524505615
48,-1.9500000000000002,2.3600000000000003,196608,70761,-0.07278794050216675,9.869280815124512,1.1066118478775024
49,-1.7999999999999998,2.17,200704,72648,-0.2153155654668808,10.0,1.1196603775024414
50,-2.2,2.0500000000000003,204800,74488,-0.2555137574672699,10.0,1.1384268999099731
51,-1.4,2.35,208896,76333,0.09609044343233109,9.935897827148438,1.1513243913650513
52,-1.7,2.5700000000000003,212992,78040,-0.013596545904874802,10.0,1.1383389234542847
53,-1.85,2.23,217088,79754,-0.17201346158981323,9.797297477722168,1.0842509269714355
54,-2.35,2.18,221184,81559,0.05185790732502937,9.936708450317383,1.143623948097229
55,-2.1,2.55,225280,83294,-0.06507574766874313,9.931507110595703,1.0658400058746338
56,-1.85,2.37,229376,84921,-0.07775704562664032,9.86486530303955,1.134804129600525
57,-1.85,2.28,233472,86619,0.09849570691585541,9.932432174682617,1.1947708129882812
58,-2.0,2.2,237568,88274,-0.03340492770075798,9.791666984558105,1.1438575983047485
59,-1.8,2.24,241664,89996,-0.14744621515274048,9.93197250366211,1.1357287168502808
60,-1.55,2.51,245760,91609,-0.06328821182250977,9.87804889678955,1.1214995384216309
